Name,CategoryId,PropertyIndex,Type,IsCanonical
System.Devices.PlaybackTitle,{3633de59-6825-4381-a49b-9f6ba13a1471},3,String,True
System.Devices.RemainingDuration,{3633de59-6825-4381-a49b-9f6ba13a1471},4,UInt64,True
System.Devices.PlaybackPositionPercent,{3633de59-6825-4381-a49b-9f6ba13a1471},5,UInt32,True
System.Devices.SafeRemovalRequired,{afd97640-86a3-4210-b67c-289c41aabe55},2,Boolean,True
System.Devices.InterfaceEnabled,{026e516e-b814-414b-83cd-856d6fef4822},3,Boolean,True
System.Devices.InterfaceClassGuid,{026e516e-b814-414b-83cd-856d6fef4822},4,Guid,True
System.Devices.RestrictedInterface,{026e516e-b814-414b-83cd-856d6fef4822},6,Boolean,True
System.Devices.ContainerId,{8c7ed206-3f8a-4827-b3ab-ae9e1faefc6c},2,Guid,True
System.Devices.InLocalMachineContainer,{8c7ed206-3f8a-4827-b3ab-ae9e1faefc6c},4,Boolean,True
System.Devices.WiaDeviceType,{6bdd1fc6-810f-11d0-bec7-08002be2092f},2,UInt32,True
System.Devices.DeviceDescription,{a45c254e-df1c-4efd-8020-67d146a850e0},2,String,False
System.Devices.HardwareIds,{a45c254e-df1c-4efd-8020-67d146a850e0},3,StringList,True
System.Devices.CompatibleIds,{a45c254e-df1c-4efd-8020-67d146a850e0},4,StringList,True
System.Devices.Service,{a45c254e-df1c-4efd-8020-67d146a850e0},6,String,False
System.Devices.Class,{a45c254e-df1c-4efd-8020-67d146a850e0},9,String,False
System.Devices.ClassGuid,{a45c254e-df1c-4efd-8020-67d146a850e0},10,Guid,True
System.Devices.Driver,{a45c254e-df1c-4efd-8020-67d146a850e0},11,String,False
System.Devices.ConfigurationFlags,{a45c254e-df1c-4efd-8020-67d146a850e0},12,UInt32,False
System.Devices.DeviceManufacturer,{a45c254e-df1c-4efd-8020-67d146a850e0},13,String,True
System.Devices.DeviceFriendlyName,{a45c254e-df1c-4efd-8020-67d146a850e0},14,String,False
System.Devices.LocationInformation,{a45c254e-df1c-4efd-8020-67d146a850e0},15,String,False
System.Devices.PhysicalDeviceObjectName,{a45c254e-df1c-4efd-8020-67d146a850e0},16,String,False
System.Devices.DeviceCapabilities,{a45c254e-df1c-4efd-8020-67d146a850e0},17,UInt32,True
System.Devices.UiNumber,{a45c254e-df1c-4efd-8020-67d146a850e0},18,UInt32,False
System.Devices.UpperFilters,{a45c254e-df1c-4efd-8020-67d146a850e0},19,StringList,False
System.Devices.LowerFilters,{a45c254e-df1c-4efd-8020-67d146a850e0},20,StringList,False
System.Devices.BusTypeGuid,{a45c254e-df1c-4efd-8020-67d146a850e0},21,Guid,False
System.Devices.LegacyBusType,{a45c254e-df1c-4efd-8020-67d146a850e0},22,UInt32,False
System.Devices.BusNumber,{a45c254e-df1c-4efd-8020-67d146a850e0},23,UInt32,False
System.Devices.EnumeratorName,{a45c254e-df1c-4efd-8020-67d146a850e0},24,String,False
System.Devices.Security,{a45c254e-df1c-4efd-8020-67d146a850e0},25,SecurityDescriptor,False
System.Devices.SecurityDescriptorString,{a45c254e-df1c-4efd-8020-67d146a850e0},26,SecurityDescriptorString,False
System.Devices.DeviceType,{a45c254e-df1c-4efd-8020-67d146a850e0},27,UInt32,False
System.Devices.IsExclusive,{a45c254e-df1c-4efd-8020-67d146a850e0},28,Boolean,False
System.Devices.DeviceCharacteristics,{a45c254e-df1c-4efd-8020-67d146a850e0},29,UInt32,True
System.Devices.Address,{a45c254e-df1c-4efd-8020-67d146a850e0},30,UInt32,False
System.Devices.UiNumberDescFormat,{a45c254e-df1c-4efd-8020-67d146a850e0},31,String,False
System.Devices.PowerData,{a45c254e-df1c-4efd-8020-67d146a850e0},32,Binary,False
System.Devices.RemovalPolicy,{a45c254e-df1c-4efd-8020-67d146a850e0},33,UInt32,False
System.Devices.RemovalPolicyDefault,{a45c254e-df1c-4efd-8020-67d146a850e0},34,UInt32,False
System.Devices.RemovalPolicyOverride,{a45c254e-df1c-4efd-8020-67d146a850e0},35,UInt32,False
System.Devices.InstallState,{a45c254e-df1c-4efd-8020-67d146a850e0},36,UInt32,False
System.Devices.LocationPaths,{a45c254e-df1c-4efd-8020-67d146a850e0},37,StringList,True
System.Devices.BaseContainerId,{a45c254e-df1c-4efd-8020-67d146a850e0},38,Guid,False
System.Devices.DevObjectType,{13673f42-a3d6-49f6-b4da-ae46e0c5237c},2,UInt32,True
System.Devices.Aep.Bluetooth.Le.Appearance,{995EF0B0-7EB3-4A8B-B9CE-068BB3F4AF69},1,UInt16,True
System.Devices.Aep.Bluetooth.Le.AddressType,{995EF0B0-7EB3-4A8B-B9CE-068BB3F4AF69},4,Byte,True
System.Devices.Aep.Bluetooth.Le.Category,{995EF0B0-7EB3-4A8B-B9CE-068BB3F4AF69},5,UInt16,True
System.Devices.Aep.Bluetooth.Le.Subcategory,{995EF0B0-7EB3-4A8B-B9CE-068BB3F4AF69},6,UInt16,True
System.Devices.Aep.Bluetooth.Le.IsConnectable,{995EF0B0-7EB3-4A8B-B9CE-068BB3F4AF69},8,Boolean,True
System.Devices.AepService.FriendlyName,{71724756-3e74-4432-9b59-e7b2f668a593},2,String,True
System.Devices.AepService.ServiceClassId,{71724756-3e74-4432-9b59-e7b2f668a593},3,Guid,True
System.Devices.AepService.ContainerId,{71724756-3e74-4432-9b59-e7b2f668a593},4,Guid,True
System.Devices.AepService.ServiceId,{c9c141a9-1b4c-4f17-a9d1-f298538cadb8},2,String,True
System.Devices.AepService.ProtocolId,{c9c141a9-1b4c-4f17-a9d1-f298538cadb8},5,Guid,True
System.Devices.AepService.AepId,{c9c141a9-1b4c-4f17-a9d1-f298538cadb8},6,String,True
System.Devices.AepService.ParentAepIsPaired,{c9c141a9-1b4c-4f17-a9d1-f298538cadb8},7,Boolean,True
System.Devices.AepService.IoT.ServiceInterfaces,{79d94e82-4d79-45aa-821a-74858b4e4ca6},2,StringList,True
System.DeviceInterface.Bluetooth.DeviceAddress,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},1,String,True
System.DeviceInterface.Bluetooth.ServiceGuid,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},2,Guid,True
System.DeviceInterface.Bluetooth.Flags,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},3,UInt32,True
System.DeviceInterface.Bluetooth.Manufacturer,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},4,String,True
System.DeviceInterface.Bluetooth.ModelNumber,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},5,String,True
System.DeviceInterface.Bluetooth.VendorIdSource,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},6,Byte,True
System.DeviceInterface.Bluetooth.VendorId,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},7,UInt16,True
System.DeviceInterface.Bluetooth.ProductId,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},8,UInt16,True
System.DeviceInterface.Bluetooth.ProductVersion,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},9,UInt16,True
System.DeviceInterface.Bluetooth.ClassOfDevice,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},10,UInt32,False
System.DeviceInterface.Bluetooth.LastConnectedTime,{2bd67d8b-8beb-48d5-87e0-6cda3428040a},11,FileTime,True
System.DeviceInterface.Hid.UsagePage,{cbf38310-4a17-4310-a1eb-247f0b67593b},2,UInt16,True
